fsdownload_num,article_id,title,data_citation,data_doi,paper_title,paper_doi,license
84,8425775,U-Pb-Hf isotopic data from detrital zircons in late Carboniferous and Mid-Late Triassic sandstones and also Carboniferous granites from the Tauride and Anatolide continental units in S Turkey: implications for Tethyan palaeogeography,U-Pb-Hf isotopic data from detrital zircons in late Carboniferous and Mid-Late Triassic sandstones and also Carboniferous granites from the Tauride and Anatolide continental units in S Turkey: implications for Tethyan palaeogeography. Taylor & Francis. Ustaomer Timur; Ustaömer Petek Ayda; Robertson Alastair H. F.; Gerdes Axel.,10.6084/m9.figshare.8425775.v1,U-Pb-Hf isotopic data from detrital zircons in late Carboniferous and Mid-Late Triassic sandstones and also Carboniferous granites from the Tauride and Anatolide continental units in S Turkey: implications for Tethyan palaeogeography,10.1080/00206814.2019.1636415,CC BY 4.0
86,4834025,Late Mesozoic high-K calc-alkaline magmatism in Southeast China: the Tongling example,Late Mesozoic high-K calc-alkaline magmatism in Southeast China: the Tongling example. Taylor & Francis. Wu Cailai; Dong Shuwen; Wu Di; Zhang Xin; Ernst W. G..,10.6084/m9.figshare.4834025.v1,Late Mesozoic high-K calc-alkaline magmatism in Southeast China: the Tongling example,10.1080/00206814.2017.1313137,CC BY 4.0
96,12245861,Supplemental Material: Transition from the lithospheric to asthenospheric mantle-derived magmatism in the Early Jurassic along eastern Bangong Nujiang Suture Tibet: Evidence for continental arc extension induced by slab rollback,Xu Wangchun; al. et (2020): Supplemental Material: Transition from the lithospheric to asthenospheric mantle-derived magmatism in the Early Jurassic along eastern Bangong–Nujiang Suture Tibet: Evidence for continental arc extension induced by slab rollback. Geological Society of America. Journal contribution. https://doi.org/10.1130/GSAB.S.12245861.v2,10.1130/GSAB.S.12245861.v2,Transition from the lithospheric to asthenospheric mantle-derived magmatism in the Early Jurassic along eastern Bangong–Nujiang Suture Tibet: Evidence for continental arc extension induced by slab rollback,10.1130/B35554.1,CC BY-NC 4.0
97,3453512,Detrital zircon U-Pb-Hf systematics of Israeli coastal sands: new perspectives on the provenance of Nile sediments,Be’eri-Shlevin Y.; Avigad D.; Gerdes A.; Zlatkin O. (2016): Detrital zircon U–Pb–Hf systematics of Israeli coastal sands: new perspectives on the provenance of Nile sediments. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.3453512.v1,10.6084/m9.figshare.3453512.v1,Detrital zircon U–Pb–Hf systematics of Israeli coastal sands: new perspectives on the provenance of Nile sediments,10.1144/jgs2012-151,CC BY 4.0
100,3454589,Granitic magmatism by melting of juvenile continental crust: new constraints on the source of Palaeoproterozoic granitoids in Fennoscandia from Hf isotopes in zircon,"Andersen Tom; Andersson Ulf Bertil; Graham Stuart; Åberg Göran; Simonsen Siri L. (2016): Granitic magmatism by melting of juvenile continental crust: new constraints on the source of Palaeoproterozoic granitoids
                  in Fennoscandia from Hf isotopes in zircon. Geological Society of London. Dataset. https://doi.org/10.6084/m9.figshare.3454589.v1",10.6084/m9.figshare.3454589.v1,"Granitic magmatism by melting of juvenile continental crust: new constraints on the source of Palaeoproterozoic granitoids
                  in Fennoscandia from Hf isotopes in zircon",10.1144/0016-76492007-166,CC BY 4.0
101,12449579,Provenance record of late Mesoproterozoic to early Neoproterozoic units west Hainan South China and implications for Rodinia reconstruction,Zhang Limin; Cawood Peter A.; Wang Yuejun; Cui Xiang; Zhang Yuzhi; Qian Xin; et al. (2020): Provenance record of late Mesoproterozoic to early Neoproterozoic units west Hainan South China and implications for Rodinia reconstruction. figshare. Dataset. https://doi.org/10.6084/m9.figshare.12449579.v1,10.6084/m9.figshare.12449579.v1,,,CC BY 4.0
106,7599125,Late Permian-Triassic granitic rocks of Vietnam: the Muong Lat example,Late Permian-Triassic granitic rocks of Vietnam: the Muong Lat example. Taylor & Francis. Van Thanh Tran; Hieu Pham Trung; Minh Pham; Van Nhuan Do; Thuy Nguyen Thi Bich.,10.6084/m9.figshare.7599125.v2,Late Permian-Triassic granitic rocks of Vietnam: the Muong Lat example,10.1080/00206814.2018.1561335,CC BY 4.0
107,7776812,Jurassic granitic magmatism in the lesser Xing an-Zhangguangcai ranges of NE China: the Dong an example,Jurassic granitic magmatism in the lesser Xing’an-Zhangguangcai ranges of NE China: the Dong’an example. Taylor & Francis. Han Ji-Long; Sun Jing-Gui; Liu Yang; Ren Liang; Wang Chang-Sheng; Zhang Xiao-Tian; et al..,10.6084/m9.figshare.7776812.v1,Jurassic granitic magmatism in the lesser Xing’an-Zhangguangcai ranges of NE China: the Dong’an example,10.1080/00206814.2019.1581998,CC BY 4.0
108,7166012,Geochemistry of Early Cretaceous volcanic rocks in the Northeastern Great Xing an Range northeast China and implication for geodynamic setting,Geochemistry of Early Cretaceous volcanic rocks in the Northeastern Great Xing’an Range northeast China and implication for geodynamic setting. Taylor & Francis. Deng Changzhou; Sun Deyou; Ping Xianquan; Huang Hu; Zhang Lidong; Lu Sheng.,10.6084/m9.figshare.7166012.v1,Geochemistry of Early Cretaceous volcanic rocks in the Northeastern Great Xing’an Range northeast China and implication for geodynamic setting,10.1080/00206814.2018.1528481,CC BY 4.0
112,13499378,Geochronology geochemistry and zircon Hf isotope constraints on petrogenesis and tectonic setting of Early Permian volcanic rocks from Sonid Youqi area Solonker Zone,Geochronology geochemistry and zircon Hf isotope constraints on petrogenesis and tectonic setting of Early Permian volcanic rocks from Sonid Youqi area Solonker Zone. Taylor & Francis. Tang Jianzhou; Zhang Zhicheng; Liu Bo; Wang Qi; Ding Cong.,10.6084/m9.figshare.13499378.v1,Geochronology geochemistry and zircon Hf isotope constraints on petrogenesis and tectonic setting of Early Permian volcanic rocks from Sonid Youqi area Solonker Zone,10.1080/00206814.2020.1852448,CC BY 4.0
